track_id,name,artists,isrc,tempo,tempo_source
2o5YDkVrId7JeumduZJ6NL,My Gospel,Charlie Puth,USAT21502910,112.0,deezer
7oTE1KmtU2ml9zBhv9Reao,California,Lana Del Rey,GBUM71701863,123.78,deezer
1fHRzxbts9A8J1ergDe7Kz,Saturday Nights,Khalid,USRC11803517,168.06,deezer
254bXAqt3zP6P50BdQvEsq,Everywhere - 2017 Remaster,Fleetwood Mac,USRH11602189,114.84,deezer
7F5oktn5YOsR9eR5YsFtqb,New Year’s Day,Taylor Swift,USCJY1750016,95.04,deezer
79esEXlqqmq0GPz0xQSZTV,Lost In Japan,Shawn Mendes,USUM71803548,104.93,deezer
4CCe846xVRd9p31gc6dMza,Postcard (feat. Gordi),"Troye Sivan, Gordi",AUUM71800522,96.82,deezer
2Foc5Q5nqNiosCNqttzHof,Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],"Daft Punk, Pharrell Williams, Nile Rodgers",USQX91300809,116.13,deezer
7p9dd71JR2ucoAuO1Sy0VZ,When You're Gone,"Bryan Adams, Melanie C",USAM19800328,125.7,deezer
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Taylor Swift,USUG11901472,170.14,deezer
068LmtzI6xJJDPfPnMje0U,Let It Happen,Tame Impala,AUUM71500292,124.91,deezer
0EfsDEYaSjGYd66Pr881nq,Cry Baby,The Neighbourhood,USSM11506744,107.9,deezer
75n7mraeMycQOl2sDGYaTe,Mad Sounds,Arctic Monkeys,GBCEL1300368,160.25,deezer
5TTGoX70AFrTvuEtqHK37S,No. 1 Party Anthem,Arctic Monkeys,GBCEL1300367,114.84,deezer
6jA8HL9i4QGzsj6fjoxp8Y,There for You,"Martin Garrix, Troye Sivan",NLM5S1600060,106.01,deezer
2LawezPeJhN4AWuSB0GtAU,Have You Ever Seen The Rain,Creedence Clearwater Revival,USC4R0817643,115.8,deezer
06KyNuuMOX1ROXRhj787tj,We Don't Talk Anymore (feat. Selena Gomez),"Charlie Puth, Selena Gomez",USAT21502909,99.9,deezer
5PxFv9yJEg9dxvbZggykro,So It Goes...,Taylor Swift,USCJY1750008,149.8,deezer
6NFyWDv5CjfwuzoCkw47Xf,Delicate,Taylor Swift,USCJY1750007,95.04,deezer
2U38XVprnVmJs5k46fMYyg,Afterglow,THE DRIVER ERA,TCADU1827769,128.0,deezer
6gpcs5eMhJwax4mIfKDYQk,Slide (feat. Frank Ocean & Migos),"Calvin Harris, Frank Ocean, Migos",GBARL1700262,103.88,deezer
1Dr5JexwA15wmKe7Y7maA9,Past Lives,BØRNS,USUM71512366,110.0,deezer
12homE4JpBey5cckgoepR7,To Be Alone With You,Sufjan Stevens,USG4M0451304,141.1,deezer
0LtOwyZoSNZKJWHqjzADpW,Feels Like We Only Go Backwards,Tame Impala,AUUM71200493,149.8,deezer
0w5Bdu51Ka25Pf3hojsKHh,Hard Times,Paramore,USAT21700948,119.84,deezer
6CjEJqxWB8AndIm0gGvieH,Arrows,Haux,USUS11700472,119.84,deezer
48XkVAagIoQHCsOlJtXUd5,still feel.,half•alive,GBKPL1814938,119.84,deezer
3cUxncrTWSA9lhlQbuIwUY,Stuck on the puzzle,Alex Turner,GBCEL1100045,154.85,deezer
5b9x5sRIzAgXQw0dhGORO1,Tu Hi Hai,"Amit Trivedi, Arijit Singh, Kausar Munir",INS171602914,187.93,deezer
7gfAYm7X5HMSuKcO4dy8Wi,Loco in Acapulco,Four Tops,USAR18800003,123.0,deezer
16v5heGSXbMLE2gV1oRfwi,Party's Over,Ryan Beatty,USUG11800921,137.81,deezer
1dGr1c8CrMLDpV6mPbImSI,Lover,Taylor Swift,USUG11901473,102.85,deezer
6rZVy6FIG7lSJQMFXHo12z,New Romantics,Taylor Swift,USCJY1431449,121.96,deezer
11VwZwNF29HrqwalYUMitb,Pale Blue Eyes,The Velvet Underground,USPR36909016,164.72,deezer
4dAN7KcWCWx5jV6dpwtfvN,Just a Song Before I Go,"Crosby, Stills & Nash",USAT20000088,107.7,deezer
4MAxWahEbzU8m4bD6mSZg9,You're Sixteen (You’re Beautiful And You’re Mine),Ringo Starr,GBAYE7300312,123.4,deezer
1HOMkjp0nHMaTnfAkslCQj,My Sharona,The Knack,USCA28900153,147.7,deezer
1yRCB6yZfElcF0cbApAPls,Breakup Shoes,Breakup Shoes,SEYOK1809945,155.43,deezer
4MIPNDbxVPWdLwH6A4nsiY,There's Still A Light In The House,Valley,CAUM71800226,164.72,deezer
6xM8oBy40nK1rOd8WmoOPx,Last Request,Paolo Nutini,GBAHS0600528,162.1,deezer
6VZwnDUMkAZs36g6v9MVQX,Tomorrow Never Came (feat. Sean Ono Lennon),"Lana Del Rey, Sean Ono Lennon",GBUM71701634,146.09,deezer
6i8ecOsx4J2Px1maiqzqoG,Everywhere,Fleetwood Mac,USWB19900202,114.84,deezer
0yc6Gst2xkRu0eMLeRMGCX,Apocalypse,Cigarettes After Sex,USBQU1700034,95.48,deezer
1sYSP7gKa5kdKIfhANfori,Lights Down Low,MAX,USQX91600306,162.13,deezer
14kYOiFVPb7E7NfFbqhdln,goodnight n go,Ariana Grande,USUM71808588,110.84,deezer
3fdqtnqZ7Zax6CIeQWZWN6,Shattered Ring,SZA,TCABW1406851,160.25,deezer
5xo8RrjJ9CVNrtRg2S3B1R,Motion Sickness,Phoebe Bridgers,USJ5G1714202,106.83,deezer
1eyzqe2QqGZUmfcPZtrIyt,Midnight City,M83,GB55H1100002,104.9,deezer
5Qnrgqy1pAm9GyNQOgyVFz,Fourth of July,Sufjan Stevens,US64G1509906,119.8,deezer
5Wj1rJnCLpMHdLaxsFtJLs,Bennie And The Jets - Remastered 2014,Elton John,GBUM71304955,131.7,deezer
4mlqHOqOXja92BT4M51lkj,I Like You,dandelion hands,GBSMU2348578,108.23,deezer
19Hg1UCZaCdpHB37L7x63X,EVERYTHING,The Black Skirts,KRA401600005,119.84,deezer
2Y0iGXY6m6immVb2ktbseM,Little Dark Age,MGMT,USSM11707035,97.51,deezer
3uCcoxif1cNSDivDOsi69C,Remember Me (Reunion),"Anthony Gonzalez, Ana Ofelia Murguía",USWD11783649,161.5,deezer
18Zr5WWu7X9LVool3pJRum,Two Slow Dancers,Mitski,USJ5G1815014,124.16,deezer
70U8S3FnHJlwPuid3D2A5d,I Wanna Be Your Boyfriend - 2016 Remaster,Ramones,USRH11601918,133.8,deezer
22ML0MuFKfw16WejbxsLOy,Heartbreaker,Pat Benatar,USCH38400033,157.8,deezer
0y5a9zXjz7NSEkRCPKNZwP,My Mistakes Were Made For You,The Last Shadow Puppets,GBCEL0800161,97.28,deezer
6OiRh4kttAs1YWglvTcYkB,Alrighty Aphrodite,Peach Pit,USSM11805171,164.06,deezer
7vRfxLcDDwgYW2WTrtEgUV,The Next Best American Record,Lana Del Rey,GBUM71701687,107.95,deezer
6ZLt6fyonW1xOGMBC9vJPJ,How To Never Stop Being Sad,dandelion hands,GBSMU2348589,154.27,deezer
0awZwmlC6pxH65KTZpadmX,Freakin' Out On the Interstate,Briston Maroney,QZBRF1882980,144.05,deezer
